2024-06-19 06:02:21.790 -05 [9004] LOG:  empezando checkpoint: time
	
2024-06-24 06:12:37.175 -05 [18860] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:12:37.175 -05 [8756] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:15:05.150 -05 [1476] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:15:05.150 -05 [20268] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:15:05.150 -05 [5060] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:15:05.150 -05 [23952] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:15:05.151 -05 [12656] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:15:56.189 -05 [18620] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:15:56.189 -05 [2420] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:16:06.276 -05 [23280] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:16:06.276 -05 [18412] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:16:07.834 -05 [20200] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-24 06:16:07.835 -05 [3152] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2024-06-25 05:13:12.693 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 05:13:18.961 -05 [9004] LOG:  checkpoint complete: wrote 55 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.699 s, sync=0.151 s, total=6.268 s; sync files=12, longest=0.032 s, average=0.013 s; distance=267 kB, estimate=436 kB; lsn=0/44256B8, redo lsn=0/4425680
2024-06-25 05:23:12.965 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 05:23:21.912 -05 [9004] LOG:  checkpoint complete: wrote 86 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.895 s, sync=0.045 s, total=8.948 s; sync files=25, longest=0.009 s, average=0.002 s; distance=389 kB, estimate=431 kB; lsn=0/4486C50, redo lsn=0/4486C18
2024-06-25 05:28:12.904 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 05:28:14.511 -05 [9004] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.589 s, sync=0.011 s, total=1.607 s; sync files=10, longest=0.002 s, average=0.002 s; distance=85 kB, estimate=396 kB; lsn=0/449C3B0, redo lsn=0/449C378
2024-06-25 05:33:12.476 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 05:33:18.480 -05 [9004] LOG:  checkpoint complete: wrote 59 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.946 s, sync=0.039 s, total=6.004 s; sync files=20, longest=0.009 s, average=0.002 s; distance=359 kB, estimate=393 kB; lsn=0/44F6160, redo lsn=0/44F6128
2024-06-25 05:43:12.362 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 05:43:14.108 -05 [9004] LOG:  checkpoint complete: wrote 19 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.712 s, sync=0.019 s, total=1.746 s; sync files=10, longest=0.007 s, average=0.002 s; distance=94 kB, estimate=363 kB; lsn=0/450DD30, redo lsn=0/450DCF8
2024-06-25 05:48:12.057 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 05:48:13.603 -05 [9004] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.516 s, sync=0.011 s, total=1.547 s; sync files=9, longest=0.003 s, average=0.002 s; distance=98 kB, estimate=336 kB; lsn=0/4526890, redo lsn=0/4526858
2024-06-25 05:53:12.566 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 05:53:13.132 -05 [9004] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.541 s, sync=0.012 s, total=0.567 s; sync files=3, longest=0.008 s, average=0.004 s; distance=34 kB, estimate=306 kB; lsn=0/452F0E0, redo lsn=0/452F0A8
2024-06-25 06:08:12.036 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 06:08:14.125 -05 [9004] LOG:  checkpoint complete: wrote 22 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.042 s, sync=0.024 s, total=2.090 s; sync files=11, longest=0.009 s, average=0.003 s; distance=97 kB, estimate=285 kB; lsn=0/4547500, redo lsn=0/45474C8
2024-06-25 06:13:12.087 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 06:13:15.101 -05 [9004] LOG:  checkpoint complete: wrote 28 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.985 s, sync=0.010 s, total=3.015 s; sync files=8, longest=0.003 s, average=0.002 s; distance=63 kB, estimate=263 kB; lsn=0/4557230, redo lsn=0/45571F8
2024-06-25 06:18:12.077 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 06:18:15.361 -05 [9004] LOG:  checkpoint complete: wrote 33 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.233 s, sync=0.028 s, total=3.284 s; sync files=11, longest=0.009 s, average=0.003 s; distance=152 kB, estimate=252 kB; lsn=0/457D358, redo lsn=0/457D320
2024-06-25 06:23:12.338 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 06:23:14.123 -05 [9004] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.757 s, sync=0.015 s, total=1.786 s; sync files=10, longest=0.007 s, average=0.002 s; distance=126 kB, estimate=239 kB; lsn=0/459CD90, redo lsn=0/459CD58
2024-06-25 06:33:12.083 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 06:33:14.640 -05 [9004] LOG:  checkpoint complete: wrote 25 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.414 s, sync=0.020 s, total=2.558 s; sync files=10, longest=0.008 s, average=0.002 s; distance=138 kB, estimate=229 kB; lsn=0/45CF3F8, redo lsn=0/45BF790
2024-06-25 06:43:12.614 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 06:43:18.049 -05 [9004] LOG:  checkpoint complete: wrote 53 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.386 s, sync=0.028 s, total=5.435 s; sync files=13, longest=0.009 s, average=0.003 s; distance=162 kB, estimate=222 kB; lsn=0/45E81B0, redo lsn=0/45E8178
2024-06-25 09:30:00.077 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 09:30:03.328 -05 [9004] LOG:  checkpoint complete: wrote 34 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.233 s, sync=0.011 s, total=3.251 s; sync files=12, longest=0.003 s, average=0.001 s; distance=219 kB, estimate=222 kB; lsn=0/461EF58, redo lsn=0/461EF20
2024-06-25 09:40:00.327 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 09:40:07.202 -05 [9004] LOG:  checkpoint complete: wrote 65 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.575 s, sync=0.254 s, total=6.875 s; sync files=19, longest=0.031 s, average=0.014 s; distance=305 kB, estimate=305 kB; lsn=0/466B488, redo lsn=0/466B450
2024-06-25 09:45:00.205 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 09:45:03.275 -05 [9004] LOG:  checkpoint complete: wrote 31 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.020 s, sync=0.033 s, total=3.071 s; sync files=13, longest=0.009 s, average=0.003 s; distance=133 kB, estimate=288 kB; lsn=0/468C960, redo lsn=0/468C928
2024-06-25 09:50:00.274 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 09:50:03.100 -05 [9004] LOG:  checkpoint complete: wrote 29 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.785 s, sync=0.021 s, total=2.827 s; sync files=12, longest=0.008 s, average=0.002 s; distance=186 kB, estimate=277 kB; lsn=0/46BB180, redo lsn=0/46BB148
2024-06-25 10:00:00.098 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 10:00:04.633 -05 [9004] LOG:  checkpoint complete: wrote 45 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.513 s, sync=0.013 s, total=4.535 s; sync files=11, longest=0.007 s, average=0.002 s; distance=243 kB, estimate=274 kB; lsn=0/46F80B0, redo lsn=0/46F8078
2024-06-25 10:05:00.633 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 10:05:02.638 -05 [9004] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.972 s, sync=0.022 s, total=2.006 s; sync files=10, longest=0.008 s, average=0.003 s; distance=79 kB, estimate=254 kB; lsn=0/470BDA8, redo lsn=0/470BD70
2024-06-25 10:15:00.644 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 10:15:13.605 -05 [9004] LOG:  checkpoint complete: wrote 125 buffers (0.8%); 0 WAL file(s) added, 0 removed, 0 recycled; write=12.938 s, sync=0.015 s, total=12.962 s; sync files=12, longest=0.007 s, average=0.002 s; distance=133 kB, estimate=242 kB; lsn=0/472D460, redo lsn=0/472D3F0
2024-06-25 10:20:00.601 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 10:20:08.536 -05 [9004] LOG:  checkpoint complete: wrote 75 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.898 s, sync=0.020 s, total=7.935 s; sync files=18, longest=0.008 s, average=0.002 s; distance=427 kB, estimate=427 kB; lsn=0/47983D0, redo lsn=0/4798398
2024-06-25 10:25:00.544 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 10:25:01.785 -05 [9004] LOG:  checkpoint complete: wrote 14 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.205 s, sync=0.010 s, total=1.242 s; sync files=10, longest=0.002 s, average=0.001 s; distance=49 kB, estimate=390 kB; lsn=0/47A4BB8, redo lsn=0/47A4B80
2024-06-25 10:35:00.783 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 10:35:02.917 -05 [9004] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.111 s, sync=0.010 s, total=2.134 s; sync files=10, longest=0.003 s, average=0.001 s; distance=69 kB, estimate=358 kB; lsn=0/47B6100, redo lsn=0/47B60C8
2024-06-25 10:45:00.923 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 10:45:03.022 -05 [9004] LOG:  checkpoint complete: wrote 22 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.070 s, sync=0.015 s, total=2.100 s; sync files=11, longest=0.004 s, average=0.002 s; distance=86 kB, estimate=330 kB; lsn=0/47CBAA8, redo lsn=0/47CBA70
2024-06-25 10:50:00.027 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 10:50:02.080 -05 [9004] LOG:  checkpoint complete: wrote 22 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.030 s, sync=0.017 s, total=2.054 s; sync files=12, longest=0.007 s, average=0.002 s; distance=81 kB, estimate=305 kB; lsn=0/47E0290, redo lsn=0/47E0258
2024-06-25 10:55:00.094 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 10:55:03.715 -05 [9004] LOG:  checkpoint complete: wrote 37 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.592 s, sync=0.017 s, total=3.621 s; sync files=13, longest=0.007 s, average=0.002 s; distance=272 kB, estimate=302 kB; lsn=0/48244F0, redo lsn=0/48244B8
2024-06-25 11:15:00.740 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 11:15:19.672 -05 [9004] LOG:  checkpoint complete: wrote 178 buffers (1.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=18.895 s, sync=0.019 s, total=18.933 s; sync files=19, longest=0.007 s, average=0.001 s; distance=422 kB, estimate=422 kB; lsn=0/488DD98, redo lsn=0/488DD60
2024-06-25 11:20:00.680 -05 [9004] LOG:  empezando checkpoint: time
2024-06-25 11:20:02.565 -05 [9004] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.848 s, sync=0.021 s, total=1.886 s; sync files=10, longest=0.010 s, average=0.003 s; distance=85 kB, estimate=388 kB; lsn=0/48A34D0, redo lsn=0/48A3498
